account_type,email,password,full_name
doctor,doctor1@seha.eg,Doctor@123,Dr. طارق الشريف
doctor,doctor2@seha.eg,Doctor@123,Dr. أحمد عثمان
doctor,doctor3@seha.eg,Doctor@123,Dr. منى علي
doctor,doctor4@seha.eg,Doctor@123,Dr. Khaled أحمد
doctor,doctor5@seha.eg,Doctor@123,Dr. هدى محمد
doctor,doctor6@seha.eg,Doctor@123,Dr. Yasmine El Sherif
doctor,doctor7@seha.eg,Doctor@123,Dr. فاطمة Ibrahim
doctor,doctor8@seha.eg,Doctor@123,Dr. Nour علي
doctor,doctor9@seha.eg,Doctor@123,Dr. Mohamed Othman
doctor,doctor10@seha.eg,Doctor@123,Dr. Tarek محمد
doctor,doctor11@seha.eg,Doctor@123,Dr. عائشة Ahmed
doctor,doctor12@seha.eg,Doctor@123,Dr. هدى Ahmed
doctor,doctor13@seha.eg,Doctor@123,Dr. ياسمين El Guindy
doctor,doctor14@seha.eg,Doctor@123,Dr. Salma Gaber
doctor,doctor15@seha.eg,Doctor@123,Dr. Youssef Ibrahim
doctor,doctor16@seha.eg,Doctor@123,Dr. Aisha محمد
doctor,doctor17@seha.eg,Doctor@123,Dr. Salma Abdelaziz
doctor,doctor18@seha.eg,Doctor@123,Dr. دينا Khattab
doctor,doctor19@seha.eg,Doctor@123,Dr. Hassan El Guindy
doctor,doctor20@seha.eg,Doctor@123,Dr. Aisha السيد
doctor,doctor21@seha.eg,Doctor@123,Dr. Hoda El Guindy
doctor,doctor22@seha.eg,Doctor@123,Dr. مريم Khattab
doctor,doctor23@seha.eg,Doctor@123,Dr. Hassan Gaber
doctor,doctor24@seha.eg,Doctor@123,Dr. Yasmine محمد
doctor,doctor25@seha.eg,Doctor@123,Dr. Youssef El Guindy
doctor,doctor26@seha.eg,Doctor@123,Dr. Mona Khattab
doctor,doctor27@seha.eg,Doctor@123,Dr. فاطمة Sadek
doctor,doctor28@seha.eg,Doctor@123,Dr. Ahmed حسن
doctor,doctor29@seha.eg,Doctor@123,Dr. Hoda Sadek
doctor,doctor30@seha.eg,Doctor@123,Dr. Yasmine Hassan
doctor,doctor31@seha.eg,Doctor@123,Dr. Mohamed Mohamed
doctor,doctor32@seha.eg,Doctor@123,Dr. مريم Mohamed
doctor,doctor33@seha.eg,Doctor@123,Dr. Aisha علي
doctor,doctor34@seha.eg,Doctor@123,Dr. علي Ibrahim
doctor,doctor35@seha.eg,Doctor@123,Dr. دينا El Masry
doctor,doctor36@seha.eg,Doctor@123,Dr. منى Khattab
doctor,doctor37@seha.eg,Doctor@123,Dr. عائشة الشريف
doctor,doctor38@seha.eg,Doctor@123,Dr. كريم Ali
doctor,doctor39@seha.eg,Doctor@123,Dr. علي Abdullah
doctor,doctor40@seha.eg,Doctor@123,Dr. سارة Mohamed
doctor,doctor41@seha.eg,Doctor@123,Dr. نور محمد
doctor,doctor42@seha.eg,Doctor@123,Dr. Dina علي
doctor,doctor43@seha.eg,Doctor@123,Dr. ياسمين Ahmed
doctor,doctor44@seha.eg,Doctor@123,Dr. كريم Mohamed
doctor,doctor45@seha.eg,Doctor@123,Dr. Ahmed Mohamed
doctor,doctor46@seha.eg,Doctor@123,Dr. سارة Abdelaziz
doctor,doctor47@seha.eg,Doctor@123,Dr. سارة Abdullah
doctor,doctor48@seha.eg,Doctor@123,Dr. Khaled Sadek
doctor,doctor49@seha.eg,Doctor@123,Dr. دينا Sadek
doctor,doctor50@seha.eg,Doctor@123,Dr. محمود Abdel Rahman
patient,patient1@example.com,Patient@123,Mahmoud Abdullah
patient,patient2@example.com,Patient@123,Mohamed Hassan
patient,patient3@example.com,Patient@123,مريم El Masry
patient,patient4@example.com,Patient@123,خالد Abdel Rahman
patient,patient5@example.com,Patient@123,نور علي
patient,patient6@example.com,Patient@123,Salma Khattab
patient,patient7@example.com,Patient@123,يوسف إبراهيم
patient,patient8@example.com,Patient@123,Dina إبراهيم
patient,patient9@example.com,Patient@123,Hoda Khattab
patient,patient10@example.com,Patient@123,طارق Sadek
patient,patient11@example.com,Patient@123,محمد الشريف
patient,patient12@example.com,Patient@123,Youssef Gaber
patient,patient13@example.com,Patient@123,Aisha Hassan
patient,patient14@example.com,Patient@123,Hoda علي
patient,patient15@example.com,Patient@123,حسن Abdel Rahman
patient,patient16@example.com,Patient@123,Fatma حسن
patient,patient17@example.com,Patient@123,مريم حسن
patient,patient18@example.com,Patient@123,عمر Ali
patient,patient19@example.com,Patient@123,Youssef El Sherif
patient,patient20@example.com,Patient@123,حسن El Sherif
patient,patient21@example.com,Patient@123,أحمد Khattab
patient,patient22@example.com,Patient@123,فاطمة عثمان
patient,patient23@example.com,Patient@123,محمود Abdelaziz
patient,patient24@example.com,Patient@123,Karim Abdullah
patient,patient25@example.com,Patient@123,Mohamed El Sayed
patient,patient26@example.com,Patient@123,Maryam Hassan
patient,patient27@example.com,Patient@123,عمر Ibrahim
patient,patient28@example.com,Patient@123,أحمد Ibrahim
patient,patient29@example.com,Patient@123,Mona Abdel Rahman
patient,patient30@example.com,Patient@123,Mahmoud Ali
patient,patient31@example.com,Patient@123,Youssef Hassan
patient,patient32@example.com,Patient@123,دينا Ibrahim
patient,patient33@example.com,Patient@123,Ahmed El Guindy
patient,patient34@example.com,Patient@123,Youssef علي
patient,patient35@example.com,Patient@123,ياسمين Mohamed
patient,patient36@example.com,Patient@123,دينا Khattab
